comment,time,phase,balo,latitude,longitude,duty_R,duty_L,theta,cornangle,distance
threading,5.048961162567139,land,1010.9130869901803,0,0,-1,-1,-1,,-1
threading,8.056782484054565,land,1010.8999341284403,0,0,-1,-1,-1,,-1
threading,11.057956218719482,land,1010.908173706024,0,0,-1,-1,-1,,-1
threading,14.06186580657959,land,1010.9179434076542,0,0,-1,-1,-1,,-1
threading,17.065566539764404,land,1010.831722035648,0,0,-1,-1,-1,,-1
threading,20.069533586502075,land,1010.7888614849621,0,0,-1,-1,-1,,-1
threading,23.073135137557983,land,1010.7843326324942,0,0,-1,-1,-1,,-1
threading,26.07672095298767,land,1010.7734382021908,0,0,-1,-1,-1,,-1
threading,29.08029055595398,land,1010.7456887076925,0,0,-1,-1,-1,,-1
threading,32.083465814590454,land,1010.7772861651843,0,0,-1,-1,-1,,-1
threading,35.086304903030396,land,1010.7631055815722,0,0,-1,-1,-1,,-1
threading,38.08822274208069,land,1010.5525067571917,0,0,-1,-1,-1,,-1
threading,41.091371059417725,land,1010.2213807218152,0,0,-1,-1,-1,,-1
threading,44.092631816864014,land,1009.9603410582412,0,0,-1,-1,-1,,-1
threading,47.09624004364014,land,1009.6764666273993,0,0,-1,-1,-1,,-1
sky,49.94452524185181,land,1009.5625227693653,0,0,-1,-1,-1,,-1
threading,50.09983563423157,land,1009.5625227693653,0,0,-1,-1,-1,,-1
threading,53.103514432907104,land,1009.4868943029687,0,0,-1,-1,-1,,-1
threading,56.107120752334595,land,1009.486635196372,0,0,-1,-1,-1,,-1
threading,59.11073017120361,land,1009.5009766995037,0,0,-1,-1,-1,,-1
threading,62.11455965042114,land,1009.4834003086477,0,0,-1,-1,-1,,-1
threading,65.11813473701477,land,1009.4671574321906,0,0,-1,-1,-1,,-1
threading,68.1194577217102,land,1009.4535891724415,0,0,-1,-1,-1,,-1
threading,71.12320804595947,land,1009.460602742636,0,0,-1,-1,-1,,-1
threading,74.12526941299438,land,1009.4197755372555,0,0,-1,-1,-1,,-1
threading,77.12890768051147,land,1009.5148883499221,0,0,-1,-1,-1,,-1
threading,80.13002276420593,land,1009.5482300828993,0,0,-1,-1,-1,,-1
threading,83.13275384902954,land,1009.5690531567005,0,0,-1,-1,-1,,-1
threading,86.13563394546509,land,1009.5781852482994,0,0,-1,-1,-1,,-1
threading,89.13926219940186,land,1009.5936330729277,0,0,-1,-1,-1,,-1
threading,92.1429431438446,land,1009.5934652935679,0,0,-1,-1,-1,,-1
threading,95.14651536941528,land,1009.5960742130827,0,0,-1,-1,-1,,-1
threading,98.15019798278809,land,1009.5494511444836,0,0,-1,-1,-1,,-1
threading,101.1537914276123,land,1009.5459653974258,0,0,-1,-1,-1,,-1
threading,104.157381772995,land,1009.5677021781365,0,0,-1,-1,-1,,-1
threading,107.16097402572632,land,1009.5926183696644,0,0,-1,-1,-1,,-1
threading,110.1645519733429,land,1009.608844119612,0,0,-1,-1,-1,,-1
threading,113.16709113121033,land,1009.6175388790358,0,0,-1,-1,-1,,-1
threading,116.16863656044006,land,1009.6094322264357,0,0,-1,-1,-1,,-1
threading,119.17220759391785,land,1009.6202811400738,0,0,-1,-1,-1,,-1
threading,122.1755599975586,land,1009.5654891121162,0,0,-1,-1,-1,,-1
threading,125.17805624008179,land,1009.583022316317,0,0,-1,-1,-1,,-1
threading,128.18066430091858,land,1009.6024388584799,0,0,-1,-1,-1,,-1
threading,131.18218445777893,land,1009.5996616686759,0,0,-1,-1,-1,,-1
threading,134.18396639823914,land,1009.6322090473078,0,0,-1,-1,-1,,-1
threading,137.18759441375732,land,1009.636003698082,0,0,-1,-1,-1,,-1
threading,140.1912477016449,land,1009.6393853033835,0,0,-1,-1,-1,,-1
threading,143.19216585159302,land,1009.5218604063455,0,0,-1,-1,-1,,-1
threading,146.19580054283142,land,1009.4776608932603,0,0,-1,-1,-1,,-1
threading,149.19935727119446,land,1009.4763610043053,0,0,-1,-1,-1,,-1
threading,152.20294857025146,land,1009.5108556757754,36.111593,140.100553,-1,-1,-1,,-1
threading,155.20650029182434,land,1009.5027205738671,36.111418,140.099603,-1,-1,-1,,-1
threading,158.20995259284973,land,1009.4762957914319,36.111271,140.099493,-1,-1,-1,,-1
threading,161.2120223045349,land,1009.4672029894388,36.111361,140.09968,-1,-1,-1,,-1
threading,164.21327233314514,land,1009.467004456445,36.111386,140.099703,-1,-1,-1,,-1
threading,167.21670722961426,land,1009.4391462885989,36.11138,140.099664,-1,-1,-1,,-1
threading,170.22053623199463,land,1009.2127136236763,36.11142,140.099706,-1,-1,-1,,-1
threading,173.22398614883423,land,1009.3601940037724,36.11144,140.09972,-1,-1,-1,,-1
threading,176.2276258468628,land,1009.3852612003727,36.111465,140.099768,-1,-1,-1,,-1
threading,179.2312614917755,land,1009.4188042897123,36.111468,140.099738,-1,-1,-1,,-1
threading,182.23367595672607,land,1009.4390905961118,36.111453,140.099713,-1,-1,-1,,-1
threading,185.2373490333557,land,1009.4237142537106,36.111466,140.09973,-1,-1,-1,,-1
threading,188.2388620376587,land,1009.4522846755686,36.111481,140.09974,-1,-1,-1,,-1
threading,191.2395839691162,land,1009.8253691206738,36.111483,140.099731,-1,-1,-1,,-1
threading,194.24322152137756,land,1010.3509167924283,36.111396,140.099676,-1,-1,-1,,-1
threading,197.24409437179565,land,1010.3554517629219,36.111386,140.099633,-1,-1,-1,,-1
threading,200.24720072746277,land,1010.6998778058297,36.11138,140.099611,-1,-1,-1,,-1
threading,203.2508978843689,land,1010.8510514067686,36.111368,140.099576,-1,-1,-1,,-1
threading,206.25445771217346,land,1010.9337506177745,36.111333,140.099506,-1,-1,-1,,-1
land,206.82382655143738,land,1010.9427822972652,36.111323,140.099503,-1,-1,-1,,-1
threading,209.25797939300537,land,1010.9427822972652,36.111326,140.099503,-1,-1,-1,,-1
threading,212.26161313056946,land,1010.9427822972652,36.111303,140.099475,-1,-1,-1,,-1
threading,215.26517271995544,land,1010.9427822972652,36.111303,140.099458,-1,-1,-1,,-1
threading,218.26810789108276,land,1010.9427822972652,36.111308,140.099451,-1,-1,-1,,-1
threading,221.26925659179688,land,1010.9427822972652,36.111346,140.099476,-1,-1,-1,,-1
threading,224.2713017463684,land,1010.9427822972652,36.11139,140.099485,-1,-1,-1,,-1
threading,227.27505230903625,land,1010.9427822972652,36.11137,140.099475,-1,-1,-1,,-1
threading,230.27789187431335,land,1010.9427822972652,36.111335,140.099431,-1,-1,-1,,-1
threading,233.28154826164246,land,1010.9427822972652,36.111325,140.099435,-1,-1,-1,,-1
threading,236.2851104736328,land,1010.9427822972652,36.111321,140.099453,-1,-1,-1,,-1
threading,239.28877210617065,land,1010.9427822972652,36.111328,140.099458,-1,-1,-1,,-1
threading,242.2896032333374,land,1010.9427822972652,36.111346,140.099441,-1,-1,-1,,-1
threading,245.29271149635315,land,1010.9427822972652,36.111345,140.099425,-1,-1,-1,,-1
threading,248.29629278182983,land,1010.9427822972652,36.111336,140.099408,-1,-1,-1,,-1
threading,251.2999129295349,land,1010.9427822972652,36.11134,140.099391,-1,-1,-1,,-1
threading,254.30126571655273,land,1010.9427822972652,36.11134,140.09938,-1,-1,-1,,-1
threading,257.3048424720764,land,1010.9427822972652,36.111351,140.099361,-1,-1,-1,,-1
threading,260.3073754310608,land,1010.9427822972652,36.111371,140.099346,-1,-1,-1,,-1
threading,263.31104493141174,land,1010.9427822972652,36.111398,140.09934,-1,-1,-1,,-1
threading,266.3128333091736,land,1010.9427822972652,36.111411,140.099311,-1,-1,-1,,-1
threading,269.3165180683136,land,1010.9427822972652,36.11142,140.099258,-1,-1,-1,,-1
threading,272.3201160430908,land,1010.9427822972652,36.11142,140.099216,-1,-1,-1,,-1
threading,275.32368326187134,land,1010.9427822972652,36.111436,140.09918,-1,-1,-1,,-1
threading,278.3274390697479,land,1010.9427822972652,36.11144,140.099096,-1,-1,-1,,-1
threading,281.329537153244,land,1010.9427822972652,36.111455,140.099026,-1,-1,-1,,-1
threading,284.3331763744354,land,1010.9427822972652,36.111471,140.098985,-1,-1,-1,,-1
threading,287.3369207382202,land,1010.9427822972652,36.111501,140.098959,-1,-1,-1,,-1
threading,290.34050703048706,land,1010.9427822972652,36.111533,140.098955,-1,-1,-1,,-1
threading,293.3440845012665,land,1010.9427822972652,36.11157,140.098938,-1,-1,-1,,-1
threading,296.3477189540863,land,1010.9427822972652,36.111588,140.098938,-1,-1,-1,,-1
threading,299.35142731666565,land,1010.9427822972652,36.111583,140.098925,-1,-1,-1,,-1
threading,302.35509610176086,land,1010.9427822972652,36.111585,140.098886,-1,-1,-1,,-1
threading,305.358704328537,land,1010.9427822972652,36.111595,140.098871,-1,-1,-1,,-1
threading,308.3623652458191,land,1010.9427822972652,36.111613,140.098851,-1,-1,-1,,-1
threading,311.36592841148376,land,1010.9427822972652,36.11162,140.098816,-1,-1,-1,,-1
threading,314.36860609054565,land,1010.9427822972652,36.111633,140.098791,-1,-1,-1,,-1
threading,317.3721959590912,land,1010.9427822972652,36.111645,140.098755,-1,-1,-1,,-1
threading,320.3758988380432,land,1010.9427822972652,36.111671,140.098693,-1,-1,-1,,-1
threading,323.3794639110565,land,1010.9427822972652,36.111711,140.098665,-1,-1,-1,,-1
threading,326.3803884983063,land,1010.9427822972652,36.111728,140.098653,-1,-1,-1,,-1
threading,329.38356351852417,land,1010.9427822972652,36.111735,140.09865,-1,-1,-1,,-1
threading,332.387127161026,land,1010.9427822972652,36.11172,140.098618,-1,-1,-1,,-1
threading,335.3906955718994,deployment,1010.9427822972652,36.111641,140.098621,-1,-1,-1,,-1
open,335.6006591320038,deployment,1010.9427822972652,36.111638,140.098625,-1,-1,-1,,-1
threading,338.3941993713379,deployment,1010.9427822972652,36.111685,140.098631,-18,18,59.30418262610206,,-1
threading,341.3953719139099,deployment,1010.9427822972652,36.111713,140.098631,0,0,95.61580618521046,,-1
threading,344.39887619018555,deployment,1010.9427822972652,36.111718,140.098628,0,0,128.58252729345656,,-1
threading,347.4025764465332,deployment,1010.9427822972652,36.11172,140.09862,0,0,138.81981737395486,,-1
threading,350.40616941452026,deployment,1010.9427822972652,36.111716,140.098616,0,0,115.31151425257983,,-1
threading,353.4073746204376,deployment,1010.9427822972652,36.111716,140.098611,0,0,170.4633642415406,,-1
threading,356.41088032722473,deployment,1010.9427822972652,36.11172,140.098613,60,60,188.63566660088853,,-1
threading,359.41453075408936,deployment,1010.9427822972652,36.111711,140.098605,18,-18,218.97203310948842,,-1
threading,362.4181237220764,deployment,1010.9427822972652,36.111705,140.098598,60,60,166.427639530555,,-1
threading,365.42172408103943,deployment,1010.9427822972652,36.111706,140.098591,60,60,166.427639530555,,-1
deployment,367.35234093666077,deployment,1010.9427822972652,36.11171,140.098581,0,0,166.427639530555,,-1
threading,368.4233732223511,deployment,1010.9427822972652,36.111711,140.098576,16.732649424183457,63.26735057581654,135.8692485785039,,-1
threading,371.42705965042114,deployment,1010.9427822972652,36.111715,140.098563,41.1440192361031,38.8559807638969,138.42836855885497,,-1
threading,374.42948365211487,deployment,1010.9427822972652,36.11172,140.09855,52.07133219370422,27.92866780629578,146.2999358276045,,-1
threading,377.43314695358276,deployment,1010.9427822972652,36.11172,140.098543,22.483914638060412,57.51608536193959,124.15127857484302,,-1
threading,380.43537616729736,deployment,1010.9427822972652,36.111723,140.098533,20.28241093271954,59.71758906728046,127.40490045118807,,-1
threading,383.4371588230133,deployment,1010.9427822972652,36.11173,140.098521,42.26682332328194,37.73317667671806,143.11372589323196,,-1
threading,386.43906235694885,deployment,1010.9427822972652,36.111735,140.098508,29.396481286641084,50.603518713358916,129.03497295729184,,-1
threading,389.447420835495,deployment,1010.9427822972652,36.111736,140.098493,47.49602653148139,32.50397346851861,141.9747743729843,,-1
threading,392.45105028152466,deployment,1010.9427822972652,36.111738,140.098475,66.0106308317385,13.989369168261511,153.88774559355699,,-1
threading,395.4547357559204,deployment,1010.9427822972652,36.111743,140.09846,20.36417088092032,59.63582911907968,127.3991088492767,,-1
threading,398.4554018974304,deployment,1010.9427822972652,36.111756,140.098451,24.568455536791195,55.43154446320881,132.38665372469075,,-1
threading,401.45773553848267,deployment,1010.9427822972652,36.11177,140.098443,45.351557964836914,34.648442035163086,151.7257202757925,,-1
threading,404.4595408439636,deployment,1010.9427822972652,36.111775,140.098435,49.731556096184974,30.268443903815026,143.52290784062103,,-1
threading,407.4637339115143,deployment,1010.9427822972652,36.11178,140.098426,59.49841801137047,20.501581988629532,145.21502931484176,,-1
threading,410.46513175964355,deployment,1010.9427822972652,36.111786,140.098416,17.063960380884623,62.93603961911538,129.4006606634794,,-1
threading,413.46876645088196,deployment,1010.9427822972652,36.111793,140.098405,65.16570780170787,14.834292198292129,159.09461897909463,,-1
threading,416.47146677970886,deployment,1010.9427822972652,36.111798,140.098389,64.32879758554544,15.671202414454555,151.82417513036268,,-1
threading,419.4750280380249,deployment,1010.9427822972652,36.111806,140.098376,36.638446097830474,43.361553902169526,146.45522250864886,,-1
threading,422.47878408432007,deployment,1010.9427822972652,36.111811,140.098361,53.21339575460512,26.786604245394877,156.13181180090857,,-1
threading,425.4824504852295,deployment,1010.9427822972652,36.111816,140.098346,53.10393494603029,26.896065053969703,151.05977754208,,-1
threading,428.48609256744385,deployment,1010.9427822972652,36.111823,140.098336,36.00913247910351,43.99086752089649,155.15814595907023,,-1
threading,431.4875154495239,deployment,1010.9427822972652,36.111828,140.098325,39.04314121562168,40.95685878437832,154.3589941756947,,-1
threading,434.4913854598999,deployment,1010.9427822972652,36.111831,140.09831,35.84701259854458,44.15298740145542,156.33404160516073,,-1
threading,437.4932837486267,deployment,1010.9427822972652,36.111834,140.098293,30.277369287207296,49.72263071279271,151.68884653476906,,-1
threading,440.49541449546814,deployment,1010.9427822972652,36.111838,140.098278,36.36027716581928,43.63972283418072,160.29278160606225,,-1
threading,443.496866941452,deployment,1010.9427822972652,36.111843,140.098261,22.065206580702963,57.93479341929704,162.48326334559263,,-1
threading,446.4993817806244,deployment,1010.9427822972652,36.111845,140.098248,40.01123995095276,39.98876004904724,168.76572878076703,,-1
threading,449.5031533241272,deployment,1010.9427822972652,36.111845,140.098231,55.274773572762825,24.72522642723718,182.03074292290236,,-1
threading,452.50517868995667,deployment,1010.9427822972652,36.111845,140.098216,51.959467738822795,28.0405322611772,209.697819307079,,-1
threading,455.50875878334045,deployment,1010.9427822972652,36.111843,140.098201,0,0,205.11654953007442,,-1
threading,458.5124714374542,deployment,1010.9427822972652,36.111845,140.098201,0,0,205.11654953007442,,-1
threading,461.5154163837433,deployment,1010.9427822972652,36.111843,140.098201,69.56522326861517,10.434776731384822,296.6049646359738,,-1
threading,464.5192313194275,deployment,1010.9427822972652,36.11184,140.098205,0,0,296.6049646359738,,-1
threading,467.519980430603,deployment,1010.9427822972652,36.111838,140.098206,0,0,296.6049646359738,,-1
threading,470.52197003364563,deployment,1010.9427822972652,36.111841,140.098208,0,0,296.6049646359738,,-1
threading,473.52525997161865,camera,1010.9427822972652,36.111841,140.098208,0,0,283.22938273903196,,-1
threading,476.5273714065552,camera,1010.9427822972652,36.111841,140.098208,0,0,294.25502389287107,,-1
threading,479.530903339386,camera,1010.9427822972652,36.111841,140.098208,0,0,294.25502389287107,,1192.194640636444
threading,482.53444504737854,camera,1010.9427822972652,36.111841,140.098208,0,0,294.25502389287107,,1192.194640636444
threading,485.53537940979004,camera,1010.9427822972652,36.111841,140.098208,0,0,294.25502389287107,,1192.194640636444
threading,488.5390455722809,camera,1010.9427822972652,36.111841,140.098208,0,0,294.25502389287107,,1192.194640636444
took photo saved as image/yolo_image1.jpg,490.5554869174957,camera,1010.9427822972652,36.111841,140.098208,0,0,294.25502389287107,,1192.194640636444
cone is in the image,490.55628275871277,camera,1010.9427822972652,36.111841,140.098208,0,0,294.25502389287107,-18.318379956957838,1192.194640636444
rotate for cone,490.5565619468689,camera,1010.9427822972652,36.111841,140.098208,0,0,294.25502389287107,,1192.194640636444
threading,491.5425887107849,camera,1010.9427822972652,36.111841,140.098208,0,0,289.4837194349722,,1192.194640636444
threading,494.5451502799988,camera,1010.9427822972652,36.111841,140.098208,0,0,272.774489543045,,1192.194640636444
threading,497.5473783016205,camera,1010.9427822972652,36.111841,140.098208,0,0,272.774489543045,,1192.4743056297302
threading,500.5508999824524,camera,1010.9427822972652,36.111841,140.098208,0,0,272.774489543045,,1192.4743056297302
threading,503.55444073677063,camera,1010.9427822972652,36.111845,140.098211,0,0,272.774489543045,,1192.4743056297302
threading,506.55538535118103,camera,1010.9427822972652,36.111848,140.09822,0,0,272.774489543045,,1192.4743056297302
took photo saved as image/yolo_image2.jpg,507.3839988708496,camera,1010.9427822972652,36.111848,140.09822,0,0,272.774489543045,,1192.4743056297302
cone is NOT in the image,507.3845200538635,camera,1010.9427822972652,36.111848,140.09822,0,0,272.774489543045,,1192.4743056297302
can not find cone rotate,507.38473987579346,camera,1010.9427822972652,36.111848,140.09822,0,0,272.774489543045,,1192.4743056297302
threading,509.55898094177246,camera,1010.9427822972652,36.11185,140.098221,0,0,298.2975564930457,,1192.4743056297302
threading,512.5626547336578,camera,1010.9427822972652,36.111851,140.098221,0,0,300.7020009848019,,1192.4743056297302
threading,515.5661203861237,camera,1010.9427822972652,36.111851,140.09822,0,0,300.7020009848019,,1192.6080584526062
threading,518.5698289871216,camera,1010.9427822972652,36.111855,140.098225,0,0,300.7020009848019,,1192.6080584526062
threading,521.5733127593994,camera,1010.9427822972652,36.111853,140.098221,0,0,300.7020009848019,,1192.6080584526062
threading,524.5753815174103,camera,1010.9427822972652,36.111848,140.09822,0,0,300.7020009848019,,1192.6080584526062
took photo saved as image/yolo_image3.jpg,525.9887046813965,camera,1010.9427822972652,36.111846,140.098218,0,0,300.7020009848019,,1192.6080584526062
cone is NOT in the image,525.9892163276672,camera,1010.9427822972652,36.111846,140.098218,0,0,300.7020009848019,,1192.6080584526062
can not find cone rotate,525.9894905090332,camera,1010.9427822972652,36.111846,140.098218,0,0,300.7020009848019,,1192.6080584526062
threading,527.5788798332214,camera,1010.9427822972652,36.111846,140.098216,0,0,272.2400194741335,,1192.6080584526062
threading,530.5814957618713,camera,1010.9427822972652,36.111846,140.098216,17,-17,244.47203705346186,,1192.6080584526062
threading,533.5853607654572,camera,1010.9427822972652,36.111846,140.098216,0,0,248.4970209961126,,1192.6080584526062
threading,536.5873830318451,camera,1010.9427822972652,36.111846,140.098216,0,0,248.4970209961126,,1192.8380727767944
threading,539.5908875465393,camera,1010.9427822972652,36.111846,140.098216,0,0,248.4970209961126,,1192.8380727767944
threading,542.5944476127625,camera,1010.9427822972652,36.111848,140.098215,0,0,248.4970209961126,,1192.8380727767944
threading,545.5953772068024,camera,1010.9427822972652,36.111846,140.098215,0,0,248.4970209961126,,1192.8380727767944
took photo saved as image/yolo_image4.jpg,547.7813093662262,camera,1010.9427822972652,36.111846,140.098215,0,0,248.4970209961126,,1192.8380727767944
cone is NOT in the image,547.7817997932434,camera,1010.9427822972652,36.111846,140.098215,0,0,248.4970209961126,,1192.8380727767944
can not find cone rotate,547.7820703983307,camera,1010.9427822972652,36.111846,140.098215,0,0,248.4970209961126,,1192.8380727767944
threading,548.597704410553,camera,1010.9427822972652,36.111846,140.098215,-20,20,267.8371479108549,,1192.8380727767944
threading,551.6011698246002,camera,1010.9427822972652,36.111848,140.098215,0,0,16.141371435302716,,1192.8380727767944
threading,554.6036689281464,camera,1010.9427822972652,36.11185,140.098218,0,0,316.2383596674354,,1192.8380727767944
