comment,time,phase,balo,latitude,longitude,duty_R,duty_L,theta,cornangle,distance
threading,5.047085762023926,land,1011.8388366316672,36.110583,140.099711,-1,-1,-1,,-1
threading,8.054441690444946,land,1011.8453500158694,36.110583,140.099711,-1,-1,-1,,-1
threading,11.058055400848389,land,1011.7775861196285,36.110583,140.099711,-1,-1,-1,,-1
threading,14.060291767120361,land,1011.7349442390246,36.110583,140.099711,-1,-1,-1,,-1
threading,17.063918828964233,land,1011.7919321782168,36.110583,140.099711,-1,-1,-1,,-1
threading,20.067002296447754,land,1011.7842532976822,36.110583,140.099711,-1,-1,-1,,-1
threading,23.069406747817993,land,1011.7233399560033,36.110583,140.099711,-1,-1,-1,,-1
threading,26.072920083999634,land,1011.767203426545,36.110583,140.099711,-1,-1,-1,,-1
threading,29.075759172439575,land,1011.75696624152,36.110583,140.099711,-1,-1,-1,,-1
threading,32.079030990600586,land,1011.5192784760757,36.110583,140.099711,-1,-1,-1,,-1
threading,35.08258008956909,land,1011.1121157381407,36.110583,140.099711,-1,-1,-1,,-1
threading,38.08608055114746,land,1010.8827325762032,36.110583,140.099711,-1,-1,-1,,-1
threading,41.0873498916626,land,1010.4384034092747,36.110583,140.099711,-1,-1,-1,,-1
sky,43.89045715332031,land,1010.2130707847692,36.110583,140.099711,-1,-1,-1,,-1
threading,44.09061574935913,land,1010.2130707847692,36.110583,140.099711,-1,-1,-1,,-1
threading,47.09324932098389,land,1009.9839840066822,36.110583,140.099711,-1,-1,-1,,-1
threading,50.09695625305176,land,1009.9966924964714,36.110583,140.099711,-1,-1,-1,,-1
threading,53.10058283805847,land,1010.1104759722979,36.110583,140.099711,-1,-1,-1,,-1
threading,56.10413956642151,land,1010.1333006348037,36.110583,140.099711,-1,-1,-1,,-1
threading,59.10769748687744,land,1010.5196866557833,36.110583,140.099711,-1,-1,-1,,-1
threading,62.111321687698364,land,1010.8399107068342,36.110583,140.099711,-1,-1,-1,,-1
threading,65.11552119255066,land,1011.1705982243328,36.110583,140.099711,-1,-1,-1,,-1
threading,68.11932325363159,land,1011.5506993656061,36.110583,140.099711,-1,-1,-1,,-1
threading,71.12293934822083,land,1011.7469029849407,36.110583,140.099711,-1,-1,-1,,-1
threading,74.1267876625061,land,1011.8377764922947,36.110583,140.099711,-1,-1,-1,,-1
land,74.66074395179749,land,1011.8088728605039,36.110583,140.099711,-1,-1,-1,,-1
threading,77.13046932220459,land,1011.8088728605039,36.110583,140.099711,-1,-1,-1,,-1
threading,80.1340069770813,land,1011.8088728605039,36.110583,140.099711,-1,-1,-1,,-1
threading,83.13767433166504,land,1011.8088728605039,36.110583,140.099711,-1,-1,-1,,-1
threading,86.14137625694275,land,1011.8088728605039,36.110583,140.099711,-1,-1,-1,,-1
threading,89.1449613571167,land,1011.8088728605039,36.110583,140.099711,-1,-1,-1,,-1
threading,92.14815950393677,land,1011.8088728605039,36.111121,140.098788,-1,-1,-1,,-1
threading,95.15197968482971,land,1011.8088728605039,36.111205,140.098726,-1,-1,-1,,-1
threading,98.15395784378052,land,1011.8088728605039,36.111261,140.098686,-1,-1,-1,,-1
threading,101.15747785568237,land,1011.8088728605039,36.111275,140.098654,-1,-1,-1,,-1
threading,104.16098427772522,land,1011.8088728605039,36.111288,140.098725,-1,-1,-1,,-1
threading,107.16183805465698,land,1011.8088728605039,36.111281,140.098763,-1,-1,-1,,-1
threading,110.16371059417725,land,1011.8088728605039,36.111306,140.098756,-1,-1,-1,,-1
threading,113.16644072532654,land,1011.8088728605039,36.111336,140.098741,-1,-1,-1,,-1
threading,116.16940689086914,land,1011.8088728605039,36.111371,140.098706,-1,-1,-1,,-1
threading,119.17185688018799,land,1011.8088728605039,36.111395,140.098673,-1,-1,-1,,-1
