comment,time,phase,balo,latitude,longitude,duty_R,duty_L,theta,cornangle,distance
threading,5.04803466796875,land,1011.6741981236736,0,0,-1,-1,-1,,-1
threading,8.055741548538208,land,1011.7408580647834,0,0,-1,-1,-1,,-1
threading,11.056535720825195,land,1011.6847666649367,0,0,-1,-1,-1,,-1
threading,14.05916976928711,land,1011.7067072924754,0,0,-1,-1,-1,,-1
threading,17.06095242500305,land,1011.7089156543348,0,0,-1,-1,-1,,-1
threading,20.064555883407593,land,1011.7018644492832,0,0,-1,-1,-1,,-1
threading,23.068172216415405,land,1011.6983682664227,0,0,-1,-1,-1,,-1
threading,26.07171607017517,land,1011.7197341598483,0,0,-1,-1,-1,,-1
